"","year","holiday","working_day","normalised_temp","humidity","wind_speed","Month_1","Month_2","Month_3","Month_4","Month_5","Month_6","Month_7","Month_8","Month_9","Month_10","Month_11","Month_12","season_1","season_2","season_3","season_4","week_day_6","week_day_0","week_day_1","week_day_2","week_day_3","week_day_4","week_day_5","Weather_2","Weather_1","Weather_3","count"
"1",1,1,1,0.344167,0.805833,0.160446,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,985
"7",1,1,2,0.196522,0.498696,0.168726,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1510
"21",1,1,2,0.1775,0.457083,0.353242,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1543
"28",1,1,2,0.203478,0.793043,0.1233,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1167
"33",1,1,2,0.26,0.775417,0.264308,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1526
"35",1,1,2,0.211304,0.585217,0.127839,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1708
"43",1,1,1,0.2225,0.544167,0.203367,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1472
"44",1,1,1,0.316522,0.457391,0.260883,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1589
"54",1,1,2,0.221739,0.423043,0.094113,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1917
"59",1,1,2,0.407273,0.876364,0.289686,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1446
"66",1,1,2,0.261739,0.551304,0.341352,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1872
"79",1,1,1,0.3325,0.47375,0.207721,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2471
"85",1,1,1,0.265833,0.394167,0.209571,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2496
"90",1,1,2,0.268333,0.918333,0.217646,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1685
"91",1,1,2,0.3,0.68625,0.258708,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2227
"100",1,1,1,0.426667,0.8575,0.146767,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2895
